,Date,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Rainfall for year (in),Maximum rain per minute,Maximum temperature (°F),Minimum temperature (°F),Maximum humidity (%),Minimum humidity (%),Maximum pressure,Minimum pressure,Maximum windspeed (mph),Maximum gust speed (mph),Maximum heat index (°F),Total Rain (in),Total Rain (mm)
903,2008-06-22,,39,31.0,29.9,4.1,6.4,266,1.72,5.19,0.0,78.6,38.9,78.0,13.0,30.098,29.773000000000003,27.6,40.0,78.7,0.0,0.0
904,2008-06-23,,46,37.0,29.9,4.0,5.9,275,1.73,5.20,0.01,73.5,44.5,77.0,21.0,29.975,29.730999999999998,21.9,29.0,78.8,0.01,0.254
905,2008-06-24,,46,34.9,29.9,5.2,7.7,282,1.73,5.20,0.0,80.9,39.2,91.0,14.0,30.035,29.758000000000003,25.3,35.0,79.0,0.0,0.0
906,2008-06-25,,36,34.9,29.8,4.1,6.1,307,1.73,5.20,0.0,79.4,48.5,62.0,14.0,29.942,29.729,19.6,28.0,78.8,0.0,0.0
907,2008-06-26,,42,32.9,29.8,4.9,7.4,272,1.73,5.20,0.0,79.9,43.8,77.0,13.0,29.919,29.64,28.8,47.0,78.8,0.0,0.0
908,2008-06-27,,28,30.5,29.7,6.2,9.6,279,1.73,5.20,0.0,81.1,49.9,52.0,10.0,29.785,29.581,21.9,40.0,79.0,0.0,0.0
909,2008-06-28,,42,39.4,30.0,4.3,7.1,79,1.73,5.20,0.0,70.8,55.0,61.0,25.0,30.166,29.776999999999997,15.0,20.0,79.1,0.0,0.0
910,2008-06-29,,37,31.6,30.1,3.2,5.0,56,1.73,5.20,0.0,74.7,37.5,63.0,25.0,30.262,29.991999999999997,15.0,21.0,78.7,0.0,0.0
911,2008-06-30,,40,34.4,30.0,2.9,4.7,6,1.73,5.20,0.0,82.0,40.5,78.0,15.0,30.103,29.773000000000003,15.0,20.0,79.8,0.0,0.0
912,2008-07-01,,32,35.1,29.8,5.7,8.5,278,0.01,5.21,0.01,79.8,51.8,56.0,15.0,29.909,29.689,18.4,31.0,79.0,0.01,0.254
913,2008-07-02,,51,42.1,29.8,4.3,6.6,16,0.19,5.39,0.02,79.0,46.1,84.0,27.0,29.937,29.647,17.3,26.0,79.1,0.18,4.571999999999999
914,2008-07-03,,70,49.2,29.9,4.3,6.3,47,0.19,5.39,0.0,74.3,45.5,91.0,40.0,30.025,29.816,16.1,22.0,78.6,0.0,0.0
915,2008-07-04,,49,40.7,29.8,2.4,4.0,50,0.20,5.40,0.01,83.4,44.8,92.0,17.0,29.996,29.645,16.1,21.0,80.8,0.01,0.254
916,2008-07-05,,38,37.5,29.7,4.4,7.1,264,0.22,5.42,0.01,85.0,48.4,63.0,14.0,29.812,29.541,16.1,21.0,81.9,0.02,0.508
917,2008-07-06,,51,43.6,29.7,2.7,4.4,10,0.24,5.44,0.01,70.4,51.4,83.0,31.0,29.776,29.535,11.5,18.0,79.1,0.02,0.508
918,2008-07-07,,66,44.0,29.8,3.5,5.4,311,0.32,5.52,0.01,70.4,47.9,92.0,30.0,29.976,29.749000000000002,21.9,28.0,79.1,0.08,2.032
919,2008-07-08,,62,42.4,29.9,2.9,4.4,295,0.37,5.57,0.01,72.0,42.2,94.0,25.0,30.048,29.818,19.6,26.0,79.1,0.05,1.27
920,2008-07-09,,50,39.5,29.9,2.6,4.7,80,0.37,5.57,0.0,78.5,41.1,87.0,21.0,30.039,29.673000000000002,12.7,17.0,79.1,0.0,0.0
921,2008-07-10,,32,30.0,29.7,3.6,6.0,288,0.37,5.57,0.0,86.3,47.0,66.0,9.0,29.836,29.534000000000002,16.1,26.0,82.9,0.0,0.0
922,2008-07-11,,26,26.3,29.7,4.5,7.2,326,0.37,5.57,0.0,85.9,46.1,59.0,7.0,29.821,29.576999999999998,18.4,28.0,82.6,0.0,0.0
923,2008-07-12,,42,35.9,30.0,3.1,5.4,72,0.37,5.57,0.0,71.6,43.8,68.0,27.0,30.057,29.787,15.0,20.0,78.5,0.0,0.0
924,2008-07-13,,36,30.2,29.9,2.3,4.2,65,0.37,5.57,0.0,82.2,38.9,81.0,11.0,30.088,29.69,15.0,20.0,79.8,0.0,0.0
925,2008-07-14,,27,27.0,29.7,3.3,5.3,280,0.37,5.57,0.0,83.8,42.1,57.0,11.0,29.859,29.62,16.1,21.0,81.0,0.0,0.0
926,2008-07-15,,22,26.0,29.8,4.4,6.7,249,0.37,5.57,0.0,85.1,49.8,47.0,7.0,29.862,29.669,18.4,37.0,82.0,0.0,0.0
927,2008-07-16,,25,28.2,29.8,3.4,5.4,43,0.37,5.57,0.0,85.8,46.0,52.0,9.0,29.913,29.645,19.6,22.0,82.5,0.0,0.0
928,2008-07-17,,50,42.6,29.8,2.4,3.8,356,0.45,5.65,0.01,74.7,51.7,86.0,27.0,29.945,29.68,13.8,18.0,79.0,0.08,2.032
929,2008-07-18,,50,39.5,29.8,2.2,3.8,36,0.45,5.65,0.0,81.6,43.6,93.0,10.0,29.995,29.605,16.1,24.0,79.3,0.0,0.0
930,2008-07-19,,49,37.0,29.7,0.4,1.2,254,0.45,5.65,0.0,79.4,46.2,73.0,17.0,29.822,29.596,3.5,6.0,78.8,0.0,0.0
931,2008-07-20,,31,33.0,29.8,2.6,4.3,241,0.45,5.65,0.0,85.5,47.3,62.0,14.0,29.888,29.629,25.3,37.0,82.3,0.0,0.0
932,2008-07-21,,41,39.4,29.8,3.0,4.8,275,0.45,5.65,0.0,84.3,47.1,63.0,17.0,29.947,29.653000000000002,15.0,21.0,81.6,0.0,0.0
933,2008-07-22,,43,42.2,29.8,2.3,4.5,183,0.45,5.65,0.0,82.8,50.1,74.0,19.0,29.883,29.583000000000002,15.0,24.0,80.7,0.0,0.0
934,2008-07-23,,54,47.8,29.7,3.8,5.9,244,0.52,5.72,0.01,81.8,54.7,87.0,26.0,29.867,29.611,25.3,35.0,80.1,0.07,1.778
935,2008-07-24,,49,44.1,29.8,3.8,6.1,217,0.52,5.72,0.0,85.6,49.4,88.0,16.0,29.944,29.666999999999998,16.1,24.0,82.5,0.0,0.0
936,2008-07-25,,51,45.2,29.9,2.6,4.5,94,0.54,5.74,0.01,84.5,47.8,85.0,14.0,29.995,29.743000000000002,17.3,22.0,81.7,0.02,0.508
937,2008-07-26,,47,43.3,29.8,3.1,5.1,3,0.54,5.74,0.0,83.8,53.6,87.0,17.0,29.968,29.642,20.7,28.0,81.3,0.0,0.0
938,2008-07-27,,39,39.1,29.7,3.0,4.8,354,0.54,5.74,0.0,84.7,47.6,73.0,17.0,29.793,29.588,18.4,26.0,81.7,0.0,0.0
939,2008-07-28,,45,41.0,29.7,3.5,5.4,286,0.56,5.76,0.01,82.6,49.5,70.0,17.0,29.817,29.555999999999997,17.3,24.0,80.2,0.02,0.508
940,2008-07-29,,42,37.3,29.8,2.8,4.6,302,0.56,5.76,0.0,79.4,44.8,77.0,19.0,29.940,29.686999999999998,16.1,20.0,79.0,0.0,0.0
941,2008-07-30,,30,29.3,29.7,4.1,6.4,254,0.56,5.76,0.0,85.7,43.3,65.0,11.0,29.905,29.539,18.4,37.0,82.4,0.0,0.0
942,2008-07-31,,28,34.0,29.7,3.4,6.1,40,0.56,5.76,0.0,86.7,52.6,51.0,11.0,29.750,29.581999999999997,15.0,20.0,83.2,0.0,0.0
943,2008-08-01,,29,31.1,29.7,4.9,7.2,247,0.00,5.76,0.0,91.0,48.5,68.0,8.0,29.832,29.553,23.0,30.0,86.8,0.0,0.0
944,2008-08-02,,26,33.2,29.7,5.5,8.4,243,0.00,5.76,0.0,91.1,50.4,42.0,11.0,29.800,29.555999999999997,21.9,33.0,86.9,0.0,0.0
945,2008-08-03,,45,43.4,29.7,2.9,4.6,235,0.20,5.96,0.04,84.7,53.3,85.0,18.0,29.861,29.555999999999997,15.0,20.0,81.9,0.2,5.08
946,2008-08-04,,52,42.2,29.8,2.5,4.1,227,0.22,5.98,0.01,81.2,47.0,90.0,17.0,29.942,29.72,28.8,47.0,79.3,0.02,0.508
947,2008-08-05,,66,46.6,29.9,2.0,3.4,46,0.22,5.98,0.0,76.5,46.7,87.0,42.0,29.967,29.864,16.1,20.0,78.9,0.0,0.0
948,2008-08-06,,67,48.8,29.9,4.2,6.7,52,0.35,6.11,0.01,80.7,49.9,92.0,26.0,30.095,29.823,18.4,26.0,79.4,0.13,3.302
949,2008-08-07,,75,51.8,30.0,2.6,4.3,89,0.36,6.12,0.01,71.1,52.5,94.0,43.0,30.079,29.816999999999997,11.5,17.0,77.7,0.01,0.254
950,2008-08-08,,70,51.5,29.8,3.5,5.2,283,0.48,6.24,0.02,78.7,52.5,92.0,30.0,29.885,29.651999999999997,19.6,28.0,78.5,0.12,3.048
951,2008-08-09,,59,48.5,29.7,3.5,5.8,327,0.49,6.25,0.01,80.5,53.5,92.0,24.0,29.855,29.616,17.3,22.0,79.4,0.01,0.254
952,2008-08-10,,71,49.4,29.8,1.8,2.9,284,0.63,6.39,0.01,70.9,50.8,88.0,36.0,29.936,29.729,17.3,22.0,78.2,0.14,3.556
953,2008-08-11,,47,38.8,29.8,3.4,6.0,300,0.63,6.39,0.0,80.7,46.5,88.0,14.0,29.904,29.668000000000003,19.6,26.0,79.1,0.0,0.0
954,2008-08-12,,47,36.5,29.8,4.3,6.2,280,0.63,6.39,0.0,80.9,40.9,81.0,16.0,29.909,29.711,19.6,25.0,79.0,0.0,0.0
955,2008-08-13,,,,,,,,,,,,,,,,,,,,,
956,2008-08-14,,70,39.9,29.8,0.8,1.5,360,0.63,6.39,0.0,54.5,43.3,80.0,56.0,29.966,29.764,5.8,10.0,54.5,0.0,0.0
957,2008-08-15,,89,42.3,30.1,2.9,4.1,37,1.14,6.90,0.01,51.6,42.3,93.0,78.0,30.287,29.878,16.1,21.0,51.6,0.51,12.954
958,2008-08-16,,87,42.2,30.2,1.6,2.6,340,1.80,7.56,0.01,54.2,41.8,94.0,69.0,30.304,30.072,11.5,14.0,54.2,0.66,16.764
959,2008-08-17,,83,42.7,30.0,1.3,2.4,254,2.04,7.80,0.01,62.1,41.2,93.0,47.0,30.162,29.91,12.7,17.0,62.1,0.24,6.095999999999999
960,2008-08-18,,70,43.9,29.9,2.7,4.0,71,2.05,7.81,0.01,70.2,38.0,94.0,37.0,30.050,29.857,13.8,20.0,79.0,0.01,0.254
961,2008-08-19,,65,42.8,29.8,2.1,3.1,44,2.05,7.81,0.0,75.6,39.8,94.0,20.0,29.964,29.691999999999997,15.0,20.0,78.8,0.0,0.0
962,2008-08-20,,55,39.8,29.7,1.9,3.0,329,2.19,7.95,0.04,78.8,41.2,90.0,17.0,29.861,29.608,20.7,26.0,79.2,0.14,3.556
963,2008-08-21,,34,32.1,29.6,5.8,8.5,255,2.19,7.95,0.0,82.0,44.2,79.0,14.0,29.811,29.43,19.6,28.0,79.7,0.0,0.0
964,2008-08-22,,35,36.5,29.6,7.4,11.4,298,2.19,7.95,0.0,81.5,55.1,64.0,16.0,29.879,29.427,25.3,41.0,79.4,0.0,0.0
965,2008-08-23,,64,47.0,30.0,2.9,4.2,34,2.22,7.98,0.01,75.2,44.6,90.0,41.0,30.083,29.851999999999997,21.9,28.0,78.9,0.03,0.7619999999999999
966,2008-08-24,,60,43.6,29.9,2.4,3.6,321,2.23,7.99,0.01,79.8,44.2,83.0,19.0,30.118,29.815,23.0,31.0,79.1,0.01,0.254
967,2008-08-25,,52,41.5,29.8,2.2,3.6,293,2.25,8.01,0.01,79.4,45.2,81.0,21.0,29.953,29.566,15.0,20.0,79.1,0.02,0.508
968,2008-08-26,,36,39.4,29.6,7.3,10.7,266,2.25,8.01,0.0,82.8,57.5,66.0,17.0,29.648,29.423000000000002,18.4,29.0,80.4,0.0,0.0
969,2008-08-27,,44,35.2,29.7,4.8,7.6,279,2.25,8.01,0.0,79.2,45.7,89.0,13.0,29.845,29.575,21.9,35.0,79.0,0.0,0.0
970,2008-08-28,,39,34.6,29.8,5.3,7.7,46,2.25,8.01,0.0,70.8,46.1,74.0,21.0,29.986,29.586,17.3,21.0,78.6,0.0,0.0
971,2008-08-29,,49,35.6,29.9,2.9,4.2,51,2.25,8.01,0.0,76.8,38.2,87.0,17.0,30.062,29.82,17.3,25.0,78.5,0.0,0.0
972,2008-08-30,,43,35.2,29.7,2.6,3.9,211,2.25,8.01,0.0,80.6,39.6,79.0,15.0,29.924,29.539,18.4,25.0,78.9,0.0,0.0
973,2008-08-31,,53,42.5,29.5,3.3,5.2,281,2.26,8.02,0.01,78.3,46.2,81.0,24.0,29.605,29.384,18.4,24.0,78.7,0.01,0.254
974,2008-09-01,,41,38.6,29.5,11.4,16.6,262,0.00,8.03,0.0,75.6,53.3,82.0,21.0,29.714,29.340999999999998,25.3,40.0,78.5,0.0,0.0
975,2008-09-02,,58,35.4,30.0,5.5,8.1,61,0.00,8.03,0.0,59.3,38.8,91.0,27.0,30.213,29.708000000000002,17.3,20.0,59.3,0.0,0.0
976,2008-09-03,,60,36.7,30.0,4.3,5.8,48,0.00,8.03,0.0,63.0,35.5,86.0,41.0,30.168,29.825,17.3,20.0,63.0,0.0,0.0
977,2008-09-04,,52,31.8,29.9,3.6,5.1,33,0.03,8.06,0.01,63.7,31.8,80.0,31.0,30.107,29.803,11.5,17.0,63.7,0.03,0.7619999999999999
978,2008-09-05,,87,40.1,30.0,2.8,4.1,27,0.16,8.19,0.01,48.3,38.3,94.0,76.0,30.049,29.844,11.5,14.0,48.3,0.13,3.302
979,2008-09-06,,73,38.6,30.0,4.3,5.9,45,0.16,8.19,0.0,59.5,34.6,94.0,34.0,30.076,29.910999999999998,16.1,20.0,59.5,0.0,0.0
980,2008-09-07,,67,41.0,29.9,3.9,5.6,69,0.16,8.19,0.0,67.8,36.5,93.0,35.0,30.110,29.779,16.1,20.0,79.1,0.0,0.0
981,2008-09-08,,83,39.0,30.0,3.1,4.3,66,0.16,8.19,0.0,54.5,37.9,93.0,60.0,30.154,29.81,12.7,16.0,54.5,0.0,0.0
982,2008-09-09,,44,27.8,29.8,2.3,3.0,284,0.16,8.19,0.0,76.8,31.6,93.0,13.0,30.195,29.451999999999998,21.9,30.0,78.9,0.0,0.0
983,2008-09-10,,37,34.0,29.6,8.6,11.4,275,0.16,8.19,0.0,72.1,53.8,61.0,15.0,29.713,29.366,25.3,33.0,78.8,0.0,0.0
984,2008-09-11,,79,40.4,29.9,3.4,5.1,38,0.81,8.84,0.05,53.8,42.6,93.0,51.0,30.124,29.655,9.2,12.0,53.8,0.65,16.509999999999998
985,2008-09-12,,76,37.4,30.0,4.1,6.2,281,1.30,9.33,0.01,54.7,39.9,93.0,47.0,30.061,29.819000000000003,19.6,32.0,54.7,0.49,12.446
986,2008-09-13,,45,32.3,29.9,7.6,11.1,286,1.30,9.33,0.0,68.8,45.4,85.0,21.0,29.993,29.776,19.6,26.0,76.8,0.0,0.0
987,2008-09-14,,77,40.1,30.1,3.4,5.3,87,1.30,9.33,0.0,58.0,39.8,91.0,54.0,30.266,29.968000000000004,10.4,16.0,58.0,0.0,0.0
988,2008-09-15,,61,34.3,30.2,2.2,3.7,93,1.30,9.33,0.0,67.6,33.4,92.0,27.0,30.398,30.178,13.8,18.0,77.6,0.0,0.0
989,2008-09-16,,56,34.0,30.2,2.4,3.8,245,1.30,9.33,0.0,73.6,33.5,92.0,15.0,30.342,30.031,15.0,20.0,78.3,0.0,0.0
990,2008-09-17,,55,35.8,30.1,2.3,3.9,292,1.30,9.33,0.0,74.7,36.8,89.0,20.0,30.223,29.857,12.7,20.0,78.9,0.0,0.0
991,2008-09-18,,56,36.1,30.0,4.0,5.8,293,1.31,9.34,0.01,68.6,36.9,84.0,26.0,30.144,29.840999999999998,21.9,26.0,78.3,0.01,0.254
992,2008-09-19,,60,35.8,30.1,1.7,2.9,360,1.32,9.35,0.01,66.8,36.8,86.0,28.0,30.160,29.991,20.7,29.0,78.2,0.01,0.254
993,2008-09-20,,71,38.8,30.0,2.6,4.1,330,1.48,9.51,0.01,67.3,34.3,92.0,31.0,30.190,29.855999999999998,27.6,36.0,78.9,0.16,4.064
994,2008-09-21,,66,40.9,29.9,5.0,7.1,250,1.51,9.54,0.01,68.9,42.3,92.0,26.0,29.965,29.748,19.6,25.0,78.9,0.03,0.7619999999999999
995,2008-09-22,,48,33.8,29.8,6.8,9.6,270,1.51,9.54,0.0,70.3,41.5,84.0,19.0,29.888,29.63,19.6,29.0,77.6,0.0,0.0
996,2008-09-23,,43,27.8,30.0,6.2,8.7,277,1.51,9.54,0.0,67.5,39.1,81.0,12.0,30.242,29.813000000000002,20.7,29.0,73.0,0.0,0.0
997,2008-09-24,,49,28.5,30.2,3.8,5.4,275,1.51,9.54,0.0,72.0,32.1,84.0,13.0,30.511,30.048000000000002,19.6,22.0,76.8,0.0,0.0
998,2008-09-25,,44,28.0,30.1,4.2,6.0,257,1.51,9.54,0.0,76.0,31.7,81.0,14.0,30.282,29.928,18.4,24.0,76.5,0.0,0.0
999,2008-09-26,,50,33.2,30.0,3.2,4.8,294,1.51,9.54,0.0,74.9,36.3,78.0,16.0,30.164,29.947,20.7,30.0,78.8,0.0,0.0
1000,2008-09-27,,65,37.6,30.1,2.1,3.1,20,1.52,9.55,0.01,70.6,36.2,86.0,27.0,30.231,29.901,17.3,21.0,78.9,0.01,0.254
1001,2008-09-28,,56,35.1,30.1,2.5,4.1,310,1.56,9.59,0.01,72.9,37.5,83.0,19.0,30.232,30.061999999999998,19.6,35.0,78.4,0.04,1.016
1002,2008-09-29,,61,34.2,30.3,2.1,3.3,58,1.57,9.60,0.01,70.1,31.9,93.0,26.0,30.408,30.124000000000002,13.8,16.0,79.0,0.01,0.254
1003,2008-09-30,,49,29.3,30.2,2.3,3.8,49,1.57,9.60,0.0,73.5,31.8,80.0,13.0,30.408,30.128,12.7,20.0,76.9,0.0,0.0
1004,2008-10-01,,49,30.0,30.1,2.6,3.9,56,0.00,9.62,0.0,72.5,32.8,82.0,19.0,30.320,29.965999999999998,12.7,17.0,76.2,0.0,0.0
1005,2008-10-02,,65,34.4,30.0,2.4,3.7,327,0.07,9.69,0.01,70.9,36.3,92.0,19.0,30.112,29.799,21.9,31.0,76.2,0.07,1.778
1006,2008-10-03,,74,35.9,29.9,1.9,2.9,312,0.10,9.72,0.01,69.2,32.9,94.0,21.0,30.022,29.736,23.0,29.0,77.1,0.03,0.7619999999999999
1007,2008-10-04,,73,37.1,29.7,1.4,2.5,330,0.11,9.73,0.01,64.7,33.8,93.0,29.0,29.883,29.483,17.3,24.0,77.3,0.01,0.254
1008,2008-10-05,,56,34.0,29.6,6.6,9.6,263,0.11,9.73,0.0,61.4,43.6,85.0,26.0,29.774,29.475,20.7,29.0,61.4,0.0,0.0
1009,2008-10-06,,44,23.3,30.0,7.1,10.6,279,0.11,9.73,0.0,55.4,38.8,91.0,24.0,30.217,29.735,23.0,35.0,55.4,0.0,0.0
1010,2008-10-07,,37,21.5,30.1,7.3,10.7,279,0.11,9.73,0.0,65.6,27.0,71.0,17.0,30.360,29.861,24.2,31.0,74.5,0.0,0.0
1011,2008-10-08,,32,24.1,29.9,8.4,11.3,252,0.11,9.73,0.0,68.9,37.3,64.0,17.0,30.001,29.74,20.7,28.0,74.1,0.0,0.0
1012,2008-10-09,,59,28.5,29.8,3.6,5.5,53,0.11,9.73,0.0,69.7,29.0,87.0,12.0,29.998,29.535,26.5,35.0,77.0,0.0,0.0
1013,2008-10-10,,76,33.7,29.7,4.7,6.5,58,0.11,9.73,0.0,52.5,33.8,89.0,53.0,29.875,29.427,17.3,20.0,52.5,0.0,0.0
1014,2008-10-11,,88,29.9,29.9,2.7,4.2,59,0.11,9.73,0.0,37.9,30.7,94.0,70.0,29.990,29.726999999999997,9.2,13.0,37.9,0.0,0.0
1015,2008-10-12,,87,29.8,29.9,2.8,4.1,67,0.24,9.86,0.01,41.8,28.4,94.0,47.0,30.180,29.685,13.8,18.0,41.8,0.13,3.302
1016,2008-10-13,,68,21.5,30.4,2.8,4.4,33,0.34,9.96,0.01,45.5,19.1,92.0,30.0,30.522,30.191,12.7,20.0,45.5,0.1,2.54
1017,2008-10-14,,,,,,,,,,,,,,,,,,,,,
1018,2008-10-15,,,,,,,,,,,,,,,,,,,,,
1019,2008-10-16,,,,,,,,,,,,,,,,,,,,,
1020,2008-10-17,,,,,,,,,,,,,,,,,,,,,
1021,2008-10-18,,,,,,,,,,,,,,,,,,,,,
1022,2008-10-19,,,,,,,,,,,,,,,,,,,,,
1023,2008-10-20,,,,,,,,,,,,,,,,,,,,,
1024,2008-10-21,,,,,,,,,,,,,,,,,,,,,
1025,2008-10-22,,,,,,,,,,,,,,,,,,,,,
1026,2008-10-23,,22,2.7,30.1,10.2,14.4,271,0.34,9.96,0.0,51.8,23.6,36.0,8.0,30.346,29.92,24.2,35.0,51.8,0.0,0.0
1027,2008-10-24,,26,13.0,30.0,11.2,15.6,275,0.34,9.96,0.0,54.7,39.6,35.0,18.0,30.043,29.871,25.3,35.0,54.7,0.0,0.0
1028,2008-10-25,,24,16.5,29.8,18.3,24.9,262,0.34,9.96,0.0,63.9,44.6,32.0,14.0,29.967,29.738000000000003,38.0,51.0,63.9,0.0,0.0
1029,2008-10-26,,44,20.5,30.2,8.6,12.1,267,0.34,9.96,0.0,55.3,22.5,86.0,13.0,30.689,29.86,25.3,35.0,55.3,0.0,0.0
1030,2008-10-27,,36,8.6,30.5,4.0,6.2,296,0.34,9.96,0.0,67.1,19.5,87.0,6.0,30.819,30.268,21.9,28.0,68.2,0.0,0.0
1031,2008-10-28,,29,16.3,30.3,3.5,5.3,217,0.34,9.96,0.0,66.9,32.5,54.0,14.0,30.421,30.144000000000002,17.3,25.0,72.0,0.0,0.0
1032,2008-10-29,,38,16.8,30.2,3.7,5.6,284,0.34,9.96,0.0,67.9,24.1,75.0,11.0,30.453,29.909000000000002,18.4,26.0,71.7,0.0,0.0
1033,2008-10-30,,23,10.4,30.1,7.4,11.0,278,0.34,9.96,0.0,66.6,31.5,52.0,8.0,30.362,29.889,27.6,38.0,69.3,0.0,0.0
1034,2008-10-31,,32,13.5,30.4,3.5,4.9,261,0.34,9.96,0.0,67.5,25.8,58.0,9.0,30.549,30.27,16.1,21.0,70.9,0.0,0.0
1035,2008-11-01,,38,23.6,30.2,4.0,5.7,261,0.00,9.96,0.0,65.8,32.2,65.0,22.0,30.326,30.031,16.1,24.0,74.9,0.0,0.0
1036,2008-11-02,,47,25.5,29.9,3.7,5.6,257,0.00,9.96,0.0,64.3,29.5,78.0,20.0,30.119,29.565,20.7,30.0,64.3,0.0,0.0
1037,2008-11-03,,45,24.6,29.8,10.5,14.0,245,0.00,9.96,0.0,57.7,30.3,80.0,20.0,29.869,29.578000000000003,33.4,43.0,57.7,0.0,0.0
1038,2008-11-04,,49,21.5,29.6,7.9,10.7,253,0.00,9.96,0.0,54.7,24.8,86.0,27.0,29.828,29.38,27.6,37.0,54.7,0.0,0.0
1039,2008-11-05,,42,9.1,29.7,13.7,19.0,262,0.00,9.96,0.0,39.9,24.7,70.0,28.0,29.980,29.4,33.4,46.0,39.9,0.0,0.0
1040,2008-11-06,,33,1.0,30.1,17.3,23.0,271,0.00,9.96,0.0,33.5,22.5,48.0,24.0,30.314,29.859,36.8,54.0,33.5,0.0,0.0
1041,2008-11-07,,35,9.8,30.1,4.4,5.0,316,0.00,9.96,0.0,43.8,27.9,49.0,28.0,30.209,29.660999999999998,26.5,26.0,43.8,0.0,0.0
1042,2008-11-08,,49,22.9,30.0,4.3,5.0,312,0.00,9.96,0.0,47.8,27.2,56.0,41.0,30.104,29.906,26.5,30.0,47.8,0.0,0.0
1043,2008-11-09,,65,21.0,29.9,0.6,0.6,10,0.00,9.96,0.0,49.9,18.9,89.0,32.0,30.066,29.718000000000004,6.9,8.0,49.9,0.0,0.0
1044,2008-11-10,,83,29.8,29.7,2.2,2.7,321,0.00,9.96,0.0,46.5,28.7,92.0,47.0,29.869,29.6,16.1,20.0,46.5,0.0,0.0
1045,2008-11-11,,45,18.9,29.9,9.9,14.1,271,0.00,9.96,0.0,45.1,35.7,52.0,37.0,29.970,29.689,20.7,30.0,45.1,0.0,0.0
1046,2008-11-12,,46,20.3,29.9,14.7,20.4,260,0.00,9.96,0.0,45.2,33.4,56.0,33.0,30.029,29.795,31.1,41.0,45.2,0.0,0.0
1047,2008-11-13,,45,24.4,29.6,19.1,27.9,274,0.01,9.97,0.01,52.8,37.5,62.0,29.0,29.795,29.513,34.5,49.0,52.8,0.01,0.254
1048,2008-11-14,,45,6.8,30.3,8.7,13.5,314,0.01,9.97,0.0,37.6,15.7,82.0,27.0,30.606,29.746,26.5,35.0,37.6,0.0,0.0
1049,2008-11-15,,26,8.3,30.3,14.5,20.8,275,0.01,9.97,0.0,52.0,27.8,31.0,20.0,30.465,30.099,29.9,45.0,52.0,0.0,0.0
1050,2008-11-16,,31,18.7,30.1,11.9,17.3,273,0.01,9.97,0.0,54.7,42.2,39.0,24.0,30.238,30.035,26.5,36.0,54.7,0.0,0.0
1051,2008-11-17,,24,15.1,30.2,8.0,11.8,281,0.01,9.97,0.0,60.5,43.6,32.0,18.0,30.337,30.147,17.3,26.0,60.5,0.0,0.0
1052,2008-11-18,,20,13.3,30.1,8.8,12.4,263,0.01,9.97,0.0,64.5,39.9,28.0,10.0,30.306,30.004,25.3,32.0,69.3,0.0,0.0
1053,2008-11-19,,34,17.3,30.1,10.1,14.0,258,0.01,9.97,0.0,58.6,29.7,83.0,19.0,30.331,29.987,21.9,33.0,58.6,0.0,0.0
1054,2008-11-20,,83,19.7,30.6,2.1,3.6,91,0.01,9.97,0.0,30.3,16.1,90.0,66.0,30.716,30.305999999999997,11.5,14.0,32.0,0.0,0.0
1055,2008-11-21,,35,10.7,30.1,14.6,20.8,272,0.01,9.97,0.0,48.0,14.8,87.0,23.0,30.457,29.96,33.4,48.0,48.0,0.0,0.0
1056,2008-11-22,,18,3.7,30.0,14.5,20.0,261,0.01,9.97,0.0,55.3,37.0,30.0,12.0,30.097,29.85,27.6,38.0,55.3,0.0,0.0
1057,2008-11-23,,34,10.5,30.0,10.0,15.0,276,0.01,9.97,0.0,44.9,21.3,68.0,19.0,30.387,29.811999999999998,24.2,41.0,44.9,0.0,0.0
1058,2008-11-24,,15,8.3,30.3,10.4,14.0,268,0.01,9.97,0.0,55.6,21.4,62.0,4.0,30.433,30.066999999999997,25.3,35.0,55.6,0.0,0.0
1059,2008-11-25,,11,9.2,30.1,9.9,13.9,269,0.01,9.97,0.0,52.0,27.2,23.0,6.0,30.196,30.000999999999998,26.5,33.0,52.0,0.0,0.0
1060,2008-11-26,,24,4.6,30.1,6.7,9.3,268,0.01,9.97,0.0,53.9,21.6,37.0,11.0,30.227,29.918000000000003,21.9,30.0,53.9,0.0,0.0
1061,2008-11-27,,70,19.3,30.2,1.9,3.5,113,0.02,9.98,0.01,42.8,19.2,86.0,30.0,30.288,29.951999999999998,12.7,16.0,42.8,0.01,0.254
1062,2008-11-28,,69,18.4,30.0,4.3,6.3,294,0.03,9.99,0.01,45.5,16.2,89.0,24.0,30.145,29.899,18.4,29.0,45.5,0.01,0.254
1063,2008-11-29,,49,15.0,30.0,5.8,9.4,303,0.05,10.01,0.01,40.8,22.1,87.0,36.0,30.077,29.857,19.6,36.0,40.8,0.02,0.508
1064,2008-11-30,,47,13.3,30.0,7.6,12.5,318,0.05,10.01,0.0,34.7,27.9,71.0,36.0,30.118,29.86,23.0,45.0,34.7,0.0,0.0
1065,2008-12-01,,37,16.1,29.9,14.5,22.5,285,0.00,10.01,0.0,49.5,30.7,47.0,27.0,30.107,29.796,29.9,51.0,49.5,0.0,0.0
